timestamp,hidden_size,epochs,n_samples,lr,mean_err,max_err,test_loss,train_sec,err_0012,err_0112,err_1012,err_1112,err_0023,err_0123,err_1023,err_1123
2026-03-31 10:41:17,100,3000,27000,0.01,5.306581e-03,8.599883e-03,6.323201e-04,91.8,8.599883e-03,4.521019e-03,3.182404e-03,2.956677e-03,4.268859e-03,7.924850e-03,4.283662e-03,6.715295e-03
2026-03-31 10:42:51,100,3000,27000,0.1,3.831868e-02,7.401033e-02,9.393992e-04,92.4,1.120889e-02,5.052490e-02,2.608965e-02,5.624965e-02,2.572354e-02,3.607938e-02,2.666312e-02,7.401033e-02
2026-03-31 10:49:19,100,3000,125000,0.01,1.418382e-02,2.017414e-02,6.230737e-04,384.4,2.017414e-02,1.078751e-02,1.641014e-02,1.208915e-02,9.363259e-03,1.834535e-02,9.180810e-03,1.712019e-02
2026-03-31 10:55:47,100,3000,125000,0.1,5.435291e-02,1.117097e-01,9.784504e-04,385.8,1.422750e-02,5.669305e-02,3.478671e-02,6.121001e-02,5.085250e-02,6.020606e-02,4.513773e-02,1.117097e-01
2026-03-31 10:56:43,100,5000,8000,0.01,6.538931e-02,7.748318e-02,6.573679e-04,54.0,7.748318e-02,7.247826e-02,7.475870e-02,5.967759e-02,6.640366e-02,5.519899e-02,5.294868e-02,6.416539e-02
2026-03-31 10:57:37,100,5000,8000,0.1,2.916368e-02,6.011248e-02,5.931681e-04,53.8,2.140986e-02,1.927651e-03,5.715915e-02,2.411762e-02,4.255471e-02,1.184121e-02,1.418671e-02,6.011248e-02
2026-03-31 11:00:13,100,5000,27000,0.01,2.650201e-02,3.972051e-02,5.203307e-04,152.9,1.614488e-02,3.434583e-02,3.576797e-02,2.562605e-02,3.972051e-02,2.145165e-02,1.851958e-02,2.043958e-02
2026-03-31 11:02:46,100,5000,27000,0.1,1.156627e-02,3.388434e-02,6.207657e-04,152.5,1.027989e-02,2.440207e-03,1.963907e-02,4.536617e-03,2.459551e-03,1.888003e-03,1.740250e-02,3.388434e-02
2026-03-31 11:13:29,100,5000,125000,0.01,5.438067e-03,7.756402e-03,5.288135e-04,639.4,6.199723e-03,2.580262e-03,6.484158e-03,6.188575e-03,3.193642e-03,3.846790e-03,7.254984e-03,7.756402e-03
2026-03-31 11:24:04,100,5000,125000,0.1,3.404322e-02,6.033685e-02,6.102963e-04,633.7,2.255451e-02,1.365072e-02,6.033685e-02,3.282033e-02,4.845116e-02,8.414124e-03,4.013393e-02,4.598415e-02
2026-03-31 11:24:26,150,1000,8000,0.01,2.445842e-02,6.416071e-02,1.489346e-03,17.3,6.416071e-02,6.448723e-03,2.516375e-02,8.570712e-03,1.061347e-02,3.043616e-02,9.365742e-03,4.090812e-02
2026-03-31 11:24:45,150,1000,8000,0.1,6.727632e-02,1.025702e-01,2.480459e-03,17.3,1.025702e-01,9.234317e-02,5.618184e-02,1.469835e-02,2.569606e-02,7.938394e-02,8.402722e-02,8.330976e-02
2026-03-31 11:25:40,150,1000,27000,0.01,1.945919e-02,4.218170e-02,1.691446e-03,50.4,1.716066e-02,1.872773e-02,6.281681e-03,2.502326e-03,9.490345e-03,2.661837e-02,3.271068e-02,4.218170e-02
